Address,"Country ",State,City,New customer records,Latitude,Longitude
"NewYorkCity, NY",US,NY,New York City,458,40.7127281,-74.0060152
"LosAngeles, CA",US,CA,Los Angeles,388,34.0802852,-118.3617435
"Brooklyn, NY",US,NY,Brooklyn,351,40.6526006,-73.9497211
"Chicago, IL",US,IL,Chicago,329,41.8958413,-87.6356943
"WashingtonDC, DC",US,DC,Washington DC,245,38.8950368,-77.0365427
"Houston, TX",US,TX,Houston,230,29.767579,-95.3674625
"Atlanta, GA",US,GA,Atlanta,148,33.7993702,-84.3926489
"SanDiego, CA",US,CA,San Diego,147,32.7481447,-117.1580989
"Seattle, WA",US,WA,Seattle,140,47.6134905,-122.35349
"Charlotte, NC",US,NC,Charlotte,136,35.2412292,-80.8226636
"SanFrancisco, CA",US,CA,San Francisco,134,37.7792588,-122.4193286
"Miami, FL",US,FL,Miami,128,25.8494759,-80.2579786
"Austin, TX",US,TX,Austin,124,30.269586,-97.7569927
"Dallas, TX",US,TX,Dallas,123,32.7762719,-96.7968559
"SanAntonio, TX",US,TX,San Antonio,115,29.4241874,-98.5945257
"Philadelphia, PA",US,PA,Philadelphia,111,39.9527237,-75.1635262
"Alexandria, VA",US,VA,Alexandria,108,38.8064356,-77.062224
"LasVegas, NV",US,NV,Las Vegas,93,36.1674263,-115.1484131
"Phoenix, AZ",US,AZ,Phoenix,92,33.4328486,-112.0067915
"Portland, OR",US,OR,Portland,92,45.5118121,-122.6849306
"Orlando, FL",US,FL,Orlando,87,28.4129036,-81.3094431
"Denver, CO",US,CO,Denver,83,39.6766157,-104.9623745
"Arlington, VA",US,VA,Arlington,81,38.8809358,-77.1079246
"Nashville, TN",US,TN,Nashville,77,36.1195848,-86.6826622
"Minneapolis, MN",US,MN,Minneapolis,73,44.8907768,-93.288082
"Boston, MA",US,MA,Boston,72,42.3504215,-71.1032247
"Sacramento, CA",US,CA,Sacramento,70,38.5810606,-121.493895
"TheBronx, NY",US,NY,The Bronx,69,40.8466508,-73.8785937
"Cincinnati, OH",US,OH,Cincinnati,68,39.1027974,-84.5064621
"Raleigh, NC",US,NC,Raleigh,63,35.7772936,-78.647651
"Oakland, CA",US,CA,Oakland,62,37.813093,-122.2607193
"SanJose, CA",US,CA,San Jose,62,37.3361663,-121.8905910
"LongBeach, CA",US,CA,Long Beach,60,33.7573434,-118.1111842
"Tampa, FL",US,FL,Tampa,60,27.953105,-82.4507037
"Columbus, OH",US,OH,Columbus,59,39.9708905,-83.0978001
"Pittsburgh, PA",US,PA,Pittsburgh,59,40.444153,-79.962461
"Jacksonville, FL",US,FL,Jacksonville,56,30.3654471,-81.7239258
"Baltimore, MD",US,MD,Baltimore,54,39.2937563,-76.6170364
"StLouis, MO",US,MO,St Louis,52,38.6280278,-90.1910154
"SantaBarbara, CA",US,CA,Santa Barbara,51,34.4394341,-119.7452961
"ColoradoSprings, CO",US,CO,Colorado Springs,49,38.8339578,-104.8253480
"SilverSpring, MD",US,MD,Silver Spring,49,38.9960874,-77.0241238
"Pasadena, CA",US,CA,Pasadena,49,34.1510164,-118.072249
"Irvine, CA",US,CA,Irvine,49,33.6567847,-117.733584
"Tucson, AZ",US,AZ,Tucson,49,32.2231264,-110.9667086
"FortWorth, TX",US,TX,Fort Worth,48,32.699995,-97.4130164
"Richmond, VA",US,VA,Richmond,48,37.4963453,-77.4656428
"Indianapolis, IN",US,IN,Indianapolis,47,39.8259963,-86.1858349
"Durham, NC",US,NC,Durham,45,35.996653,-78.9018053
"JerseyCity, NJ",US,NJ,Jersey City,44,40.7179153,-74.0369334
"Torrance, CA",US,CA,Torrance,44,33.7925235,-118.33103
"Louisville, KY",US,KY,Louisville,42,38.2133223,-85.7577075
"Birmingham, AL",US,AL,Birmingham,41,33.5123059,-86.8071775
"KansasCity, MO",US,MO,Kansas City,40,39.034463,-94.5836061
"Scottsdale, AZ",US,AZ,Scottsdale,40,33.4931547,-111.9207896
"Marietta, GA",US,GA,Marietta,40,33.9380754,-84.5197565
"Spring, TX",US,TX,Spring,40,30.07888,-95.42144
"Buffalo, NY",US,NY,Buffalo,40,42.9336675,-78.8839422
"NewOrleans, LA",US,LA,New Orleans,38,29.9559145,-90.0730259
"Plano, TX",US,TX,Plano,38,33.0296664,-96.796815
"VirginiaBeach, VA",US,VA,Virginia Beach,37,36.8509423,-76.0280856
"Madison, WI",US,WI,Madison,37,43.0802745,-89.4309587
"Henderson, NV",US,NV,Henderson,35,36.0233662,-115.0825027
"Sarasota, FL",US,FL,Sarasota,35,27.3365805,-82.5308545
"SaintPaul, MN",US,MN,Saint Paul,34,44.9497487,-93.0931028
"Greensboro, NC",US,NC,Greensboro,34,36.0693207,-79.7870573
"Riverside, CA",US,CA,Riverside,34,33.9824949,-117.374238
"StPetersburg, FL",US,FL,St Petersburg,32,27.7700475,-82.6359078
"Decatur, GA",US,GA,Decatur,32,33.7746104,-84.2960337
"SantaMonica, CA",US,CA,Santa Monica,31,34.0333237,-118.4812962
"FortLauderdale, FL",US,FL,Fort Lauderdale,31,26.1536886,-80.1176001
"Wilmington, DE",US,DE,Wilmington,31,39.7367534,-75.5511036
"Detroit, MI",US,MI,Detroit,31,42.3677514,-83.072425
"Memphis, TN",US,TN,Memphis,31,35.1189387,-89.9372196
"McKinney, TX",US,TX,Mc Kinney,30,32.8978737,-94.5542520
"Tacoma, WA",US,WA,Tacoma,30,47.2419933,-122.4205961
"Arlington, TX",US,TX,Arlington,29,32.7284713,-97.1120213
"Naperville, IL",US,IL,Naperville,29,41.7797704,-88.1460471
"Bethesda, MD",US,MD,Bethesda,28,38.9812725,-77.1233587
"Katy, TX",US,TX,Katy,28,29.7123729,-95.7718631
"Astoria, NY",US,NY,Astoria,28,40.772898,-73.9303961
"ElPaso, TX",US,TX,El Paso,28,31.8341053,-106.5480115
"GrandRapids, MI",US,MI,Grand Rapids,27,42.9632425,-85.6678639
